"행정구역(시군구)별(1)",행정구역(시군구)별(2),2021,2021,2021,2021,2021,2021,2021,2021
"행정구역(시군구)별(1)",행정구역(시군구)별(2),급여총계,급여총계,과세대상근로소득(총급여),과세대상근로소득(총급여),과세표준,과세표준,결정세액,결정세액
"행정구역(시군구)별(1)",행정구역(시군구)별(2),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원)
"강원",동해시,19928,664877,19928,663257,17640,347566,12157,31490
"강원",삼척시,17832,679097,17832,673808,16063,366118,11738,32911
"강원",속초시,19240,541238,19240,539861,16874,264209,11119,19538
"강원",양구군,4778,157212,4778,156699,4379,79059,3077,5920
"강원",양양군,6754,205642,6754,205424,5998,102527,4100,7335
"강원",영월군,9954,372291,9954,370972,9188,198270,6778,16929
"강원",원주시,107841,3717379,107841,3700848,95656,1947653,66794,167754
"강원",인제군,7071,220182,7067,219649,6382,107502,4551,6830
"강원",정선군,13957,588044,13957,577295,12664,313879,9880,26079
"강원",철원군,8680,279884,8680,278991,7801,140179,5482,10110
"강원",춘천시,103087,3883025,102706,3868115,92532,2046416,66994,183668
"강원",태백시,10388,337450,10387,333666,9360,168157,6264,12376
"강원",평창군,12145,389166,12143,388438,10658,195284,7545,14226
"강원",홍천군,19834,698897,19834,695246,17861,369442,12823,33438
"강원",화천군,5133,169024,5133,168713,4480,85379,3294,6084
"강원",횡성군,15483,508796,15483,507364,13944,257918,9643,20467
"대전",소계,562955,22478633,560983,22344131,501471,12354137,360462,1232955
"대전",대덕구,88874,3966238,88758,3952804,81661,2249591,62187,240335
"대전",동구,80879,3566953,80879,3559456,73768,2006133,57266,183331
"대전",서구,162191,5816449,161538,5793408,142402,3019450,99675,266418
"대전",유성구,158500,6802023,157297,6718288,140487,3882865,98999,437696
"대전",중구,72511,2326969,72511,2320175,63153,1196099,42335,105175
"충북",소계,576478,21300443,574600,21211436,519624,11443544,382283,1059313
"충북",괴산군,13229,482004,13144,480009,12084,254860,8920,21452
"충북",단양군,8794,330229,8794,329479,8069,176554,6043,14785
"충북",보은군,9308,330205,9308,329193,8535,173885,6273,14453
"충북",영동군,11114,361668,10988,359798,9781,183403,6836,13536
"충북",옥천군,15793,519063,15793,516744,14251,261311,9993,18832
"충북",음성군,71544,2814534,71215,2803700,66123,1559039,51442,148407
"충북",제천시,33261,1081717,33190,1077285,29823,553817,20519,47061
"충북",증평군,9013,299863,9013,298996,8132,152623,5814,11399
"충북",진천군,52313,2117823,52256,2106191,48436,1168183,37980,111477
"충북",청주시,284709,10513482,283512,10468170,254469,5648329,184520,541640
"충북",충주시,67400,2449857,67387,2441872,59921,1311538,43943,116272
"충남",소계,754742,29014841,751470,28904973,681796,15869102,505365,1513860
"충남",계룡시,8077,239646,8077,239109,7221,114993,4794,7303
"충남",공주시,43662,1678106,43662,1675149,39747,896396,29268,77772
"충남",금산군,21573,814189,21573,812042,19719,435896,14489,38610
"충남",논산시,35301,1164299,35300,1159285,31789,596447,22147,45335
"충남",당진시,62147,2478647,61970,2472478,56769,1372808,43692,129221
"충남",보령시,28090,991892,28090,988458,25230,526681,17852,45899
"충남",부여군,14762,492089,14762,490965,13352,253291,9235,19832
"충남",서산시,55483,2590508,55211,2584693,50578,1551020,39175,188450
"충남",서천군,15081,514276,15081,512675,13515,267098,9467,20393
"충남",아산시,136659,5511857,136138,5491435,124221,3054230,94278,297676
"충남",예산군,31766,1261689,31766,1257701,29421,676463,22572,57395
"충남",천안시,238662,8763157,237248,8720315,212818,4767068,154460,467235
"충남",청양군,7960,273933,7960,273188,7193,141237,5225,10361
"충남",태안군,15412,599219,15412,598017,13997,330888,10563,31130
"충남",홍성군,40107,1641332,39220,1629463,36226,884585,28148,77248
